em,sector,units,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019
CH4,1A1a_Electricity-autoproducer,ktCH4,9.731461897,10.1646066,10.72906319,13.68555905,13.82128577,14.54184479,14.81311425,15.72536871,16.16720392,18.17802229,19.12371094,20.77818864,20.89208163,22.40337399,24.41198441,27.46221497,28.82435344,31.10157646,33.67982405,33.72282395,34.16711163,36.08210566,38.78925247,42.7014048,51.36535121,58.08014588,65.04300066,73.58090999,82.66577701,99.56314829,104.1012842,110.3392199,120.9374572,134.7756076,142.2394138,159.6413491,167.224666,174.2817786,178.3180147
CH4,1A1a_Electricity-public,ktCH4,140.4085131,140.174085,137.8701846,145.0639888,144.5532474,143.5472951,152.6362603,162.4867868,179.464461,182.4112751,185.9504108,197.3820423,205.3068211,226.4456233,242.0141778,256.6300513,269.7745916,283.7809801,306.608113,329.8034893,343.4572772,370.2585816,374.6572322,399.8997268,418.0814635,438.9895808,475.5633257,490.9390149,493.5385803,537.955001,538.2471764,557.177021,555.054012,559.5524146,575.365087,588.139858,586.2084212,592.6011938,594.0080366
CH4,1A1a_Heat-production,ktCH4,94.55463604,100.3917822,104.8772476,109.0220652,128.2596527,132.6377081,142.2430847,155.7880913,177.3856542,178.2452272,182.3481729,199.4314635,192.686941,174.5865297,185.0657899,193.7485993,184.2004962,182.2456776,182.9429619,181.5247179,184.9964398,196.6275202,215.0277128,227.7806059,235.3105453,238.5642035,239.7088956,244.8187871,241.0803414,272.5184398,286.4282607,307.3764794,316.0208916,307.4702086,306.33704,305.4179228,300.5972481,315.2933529,319.9065098
CH4,1A1bc_Other-transformation,ktCH4,20.92923359,23.07339486,25.00740822,26.93544116,30.06502163,30.16817382,32.38895986,32.92418069,34.17281908,31.20653327,32.17792729,32.42752055,33.0356566,34.40025336,35.04371196,35.93944169,39.21300008,39.10823894,38.05943969,37.47473212,38.9175687,40.57022078,44.35215734,45.16268533,47.60887532,49.99613571,53.79133318,58.11827035,56.48868243,59.50611712,56.94494084,57.79368136,61.64671093,61.98385786,62.36883485,62.86903256,63.39897996,63.97672231,64.48324935
CH4,1A2a_Ind-Comb-Iron-steel,ktCH4,63.3052359,61.98926176,63.37265273,69.22333666,66.15407549,68.87682603,71.57541593,75.86483897,76.87007173,78.36658553,81.136607,79.16701963,85.45147837,85.85302932,103.4643385,96.62055208,99.72120791,95.22704893,88.00337377,100.6335863,98.5460814,103.7575771,113.9145758,127.2357601,141.4702658,146.5829452,164.2182516,170.9477385,173.8240035,189.0793325,211.6552473,212.4589543,227.6284954,235.1160267,231.7166349,224.6672241,228.1816503,240.1956638,236.6236595
CH4,1A2b_Ind-Comb-Non-ferrous-metals,ktCH4,5.124404852,5.197724564,5.387570851,3.394615587,5.274781867,5.290877493,5.555157247,6.129383342,6.159827767,6.471510982,6.890416372,7.185191453,7.738408312,7.944627471,9.570378216,9.532806504,9.179850498,9.796103194,10.34699614,11.34014668,10.31728096,11.22541478,11.05669166,13.54466079,14.28919674,15.45499297,16.5778986,17.17523923,16.24171097,17.4368407,17.9970405,18.91832902,21.64595617,22.80661103,23.34855037,23.68996274,23.86496144,24.90205588,25.07120591
CH4,1A2c_Ind-Comb-Chemicals,ktCH4,36.69721597,36.83131103,38.95076515,41.27483435,32.45160551,32.29458654,34.09198048,35.66313432,37.71699117,45.43570071,47.82901546,49.84883849,54.60607829,58.11323302,66.97982293,67.5083662,65.10252597,64.15025341,61.1824966,68.36029107,64.4732165,65.45826248,68.1348318,76.97278006,83.2338123,95.04627054,98.82421543,89.11548567,85.02983899,94.50065954,110.1266706,109.03319,115.8210252,115.3534528,114.0506501,111.8298341,117.5521089,121.1803689,121.4012114
CH4,1A2d_Ind-Comb-Pulp-paper,ktCH4,10.00765637,11.24225157,11.86545902,13.01266006,14.34627974,14.9787096,15.61816238,16.45675847,16.37804149,16.93095663,18.05829156,19.69864205,21.32654969,22.59234015,27.36528839,26.21370223,25.75650265,26.29298014,28.33231464,30.10762513,27.67777218,28.79559625,30.84253718,32.18814552,33.80162188,33.27434263,34.26820611,34.96035892,34.38119185,35.13527433,34.46561083,35.22386327,37.01781984,36.43341348,38.90386871,40.06835877,42.93293443,43.86473011,44.04294331
CH4,1A2e_Ind-Comb-Food-tobacco,ktCH4,23.31733977,24.79073094,26.14639402,26.84802678,26.64282473,27.2937737,29.75924895,28.37416069,27.93364513,28.99905849,30.016742,32.98422788,35.01401414,37.67972511,43.15282429,42.30224342,41.48076968,43.16238453,44.47941979,41.55153688,41.85404023,44.08961331,46.51748509,52.29914771,52.00303905,53.27056237,54.75069097,54.28029278,51.24617551,53.55856437,53.5604535,55.39770745,56.83790442,55.14409916,57.7379839,60.6493301,62.71479154,63.88289156,63.95886962
CH4,1A2f_Ind-Comb-Non-metalic-minerals,ktCH4,31.60454386,33.76274204,34.35030104,36.2291311,42.69234712,44.88498361,46.55912361,48.19850413,49.16977322,50.55316485,53.67246219,55.4952618,61.76026502,66.65012673,78.61406861,78.41329075,79.15952091,83.12113229,79.50509292,81.14174266,82.25993004,79.00769864,90.06635665,104.5195691,112.4648694,108.4884248,112.3855575,113.8066551,106.0527457,109.3644116,120.6135464,120.7139791,125.0171755,130.6481345,128.5104188,121.8509968,126.1871686,138.2306725,143.6512558
CH4,1A2g_Ind-Comb-Construction,ktCH4,4.106439466,4.479743209,4.931229259,5.517854649,6.679129215,7.303448441,6.552800154,6.479073634,7.575720206,6.563986269,6.293962769,6.3370666,5.338396432,5.38273155,5.707460933,6.260387766,5.363769445,5.742847879,5.360099714,5.549228401,6.076921883,8.708825412,8.583521396,9.294126262,8.460578854,10.96690897,9.896380921,8.600197026,7.807579087,5.827173557,6.203371156,8.02227188,9.184276165,8.710049065,8.252531609,8.946837954,8.957187391,9.39871036,9.565972934
CH4,1A2g_Ind-Comb-machinery,ktCH4,10.00282569,10.68426178,11.00880791,11.49156262,11.85477595,11.97383949,12.46002365,12.54584591,12.26522004,13.44504564,14.91585349,15.39807399,13.96853993,14.86850698,18.13667333,16.75062193,15.4227121,14.55706834,13.00881463,12.95774739,13.27355387,12.84383782,12.67245209,13.67942724,14.7290777,16.03331789,17.31523604,19.94491224,17.68189874,18.61196972,19.94254586,17.71347469,19.65410818,19.49050372,19.35831778,21.11740994,21.03530189,22.05396554,21.69853732
CH4,1A2g_Ind-Comb-mining-quarying,ktCH4,2.984578166,2.998556416,3.073533406,3.674854823,3.800936101,4.152946425,4.222978864,4.289911922,4.64556646,6.568579364,7.040664905,6.960340848,6.96050804,6.59093947,7.226306494,7.109273276,6.307945601,6.016562253,5.50825,5.295366369,5.67732939,5.677105083,6.146149145,7.142607257,7.814489123,7.938710531,7.890198028,9.000188877,7.338148347,9.733277877,10.05364636,10.72757355,10.74712119,10.6884684,10.94565399,9.167041331,9.232378058,9.698951607,9.790271582
CH4,1A2g_Ind-Comb-other,ktCH4,113.8649082,111.150115,115.1340617,124.0509291,121.4713421,126.4455686,134.6258385,136.9890188,133.6064461,125.0900349,121.0421489,124.0868908,114.8411279,116.1300598,98.76232248,100.5930685,108.7875977,111.3870692,112.5897986,113.0722355,119.7992049,121.4021238,123.506306,135.0481827,157.5315557,167.8460705,166.7434117,174.6979003,174.5912607,209.3886468,185.0169061,187.8894915,193.2851218,184.0739197,179.3375595,173.2264419,176.0864112,181.882289,183.9049314
CH4,1A2g_Ind-Comb-textile-leather,ktCH4,7.45250713,7.758780479,7.958291871,8.039964424,7.600976284,7.974815553,8.940266793,9.547272962,9.00133954,9.602881468,10.02746006,10.64533567,10.93774723,11.9717485,14.16038799,13.30703183,12.56743996,12.83039983,11.17506253,13.15726121,12.0485756,11.71308026,11.39744095,13.38814871,12.77644073,11.90073806,11.41065651,11.64815279,10.00440556,10.38593147,11.20992383,10.73297035,10.09538851,10.01245371,11.85515397,13.19971169,14.56146181,15.23649641,15.244792
CH4,1A2g_Ind-Comb-transpequip,ktCH4,0.870144506,0.851793115,0.861365483,1.099668309,1.117360948,1.138080989,1.223360559,1.176353926,1.15514611,1.198961772,1.213707685,1.269260222,3.1862289,3.416280132,4.583062579,4.736429384,4.926363914,5.259875848,5.140606584,6.067496571,6.019905101,6.229859863,6.300867471,6.764141864,6.501599503,6.66743842,6.655568635,6.943290113,6.525341656,6.748120229,8.152831498,9.221598448,9.802977156,10.04965355,9.521327393,9.258065436,9.534555571,10.10318356,9.971263077
CH4,1A2g_Ind-Comb-wood-products,ktCH4,1.500333515,1.484959012,1.522397787,1.723482009,3.236592837,3.26794941,3.503963412,3.719620465,3.813204808,1.679913482,1.736271046,1.823968815,2.356223916,2.634912943,3.298865569,3.374123135,3.460815556,3.563127051,3.723514589,3.525448601,3.333905932,3.311029665,3.46678175,4.5148638,4.255646606,4.030365852,4.130854047,4.25075803,4.186188504,4.036142981,4.285521262,4.150997144,4.417020424,4.522344438,4.662388152,4.671459834,5.046463905,5.448874646,5.502119501
CH4,1A3ai_International-aviation,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,1A3aii_Domestic-aviation,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,1A3b_Road,ktCH4,1178.429582,1182.095669,1205.103938,1227.395806,1239.049413,1286.543633,1339.186425,1399.161105,1440.060032,1459.737092,1470.728431,1499.125174,1522.977994,1530.082372,1559.472115,1566.247108,1527.581354,1482.989782,1425.518352,1400.998698,1387.134718,1366.327374,1376.127248,1358.302054,1337.361123,1317.376301,1309.058489,1350.417918,1356.639634,1376.91079,1398.907185,1392.650285,1404.213928,1397.198198,1399.490002,1384.185226,1371.943031,1373.106915,1366.385716
CH4,1A3c_Rail,ktCH4,19.9086001,18.7203941,16.8983167,17.46946411,16.68154915,16.58649437,16.6746196,16.9365107,16.62771118,16.42920158,15.71493323,15.56275851,14.1152153,13.48977422,13.4328786,13.47856762,12.83442973,12.06785093,11.56443428,14.63750993,14.5425391,14.5233738,14.86048013,15.58221745,16.46882883,17.03752374,16.1407814,14.28684108,12.08951353,12.31489587,13.4083417,12.3706942,11.98516493,11.46050671,10.74467202,10.33056843,10.24072196,10.34562625,10.41950592
CH4,1A3di_International-shipping,ktCH4,5.659777684,5.087915336,4.772140764,4.945117999,5.385782444,5.746949978,5.979415525,6.533145132,7.095079062,7.11939252,7.646773917,7.806080173,8.218226483,8.602600863,8.886250316,8.74051054,9.525827961,9.492241459,9.52708082,10.34944086,10.42448859,10.60640458,11.26597537,12.21227968,12.96480065,14.14034198,15.19235081,15.98316564,13.43790053,12.38473719,13.90757354,12.58153536,12.41672871,12.51336244,13.27628074,13.99357328,14.56767663,14.72164222,14.60606389
CH4,1A3di_Oil_Tanker_Loading,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,1A3dii_Domestic-navigation,ktCH4,3.42843096,3.414708792,3.339920319,7.049527202,8.434102466,7.475162408,7.531200728,7.799462606,7.976217978,8.250865619,7.545546625,8.335538159,8.310171381,6.474129615,7.213853333,7.026952112,6.517871542,5.718487103,6.034866383,5.726355672,5.286932394,5.366919344,5.491644663,5.272178391,5.687498979,5.686415032,5.799898349,5.347124562,6.025294089,5.504492738,6.192563016,6.386147351,6.563284329,7.174647277,7.068361022,7.10960603,6.950471682,7.013230979,6.962165179
CH4,1A3eii_Other-transp,ktCH4,15.66985573,14.70522043,14.22325726,15.06474107,15.82711942,15.54582298,16.39660285,16.70511049,17.8159697,5.973146398,5.460233959,4.746099575,3.50088105,2.976290934,2.558910266,2.446921279,2.34333797,3.2506588,2.514874558,2.721908746,3.524405711,2.46424219,2.075999292,2.530530406,3.194834129,2.723673296,2.687849855,2.541509407,3.469507601,2.5716203,2.268179233,2.40210895,2.555901936,4.00927381,4.760302388,2.719554554,2.478101369,2.541324921,2.637124197
CH4,1A4a_Commercial-institutional,ktCH4,202.7158587,208.3388362,211.0378153,233.2722259,242.5535931,264.4059267,260.70342,282.072495,289.1415311,321.8777993,346.7380011,332.3857345,322.9313826,291.8223627,319.5083908,325.6253292,308.5733817,311.1277509,317.8435898,312.8389557,317.1034466,305.9391838,335.0846048,359.5132003,366.3301648,376.0534431,371.4018239,371.5113619,362.088265,379.4618048,367.2918232,372.3521378,387.9897161,381.3820412,387.401521,389.0367146,388.2410371,402.5198658,408.0654686
CH4,1A4b_Residential,ktCH4,8619.893794,8750.723366,8864.192519,9097.477332,9327.536941,9502.69945,9620.661251,9808.910702,9968.475879,10185.15434,10455.10742,10422.8768,10584.56624,10480.28155,10555.22285,10643.80178,10686.26203,10678.04164,10834.26929,10958.18962,10955.58624,10891.98839,10978.58858,10970.13522,10826.88782,10746.01955,10726.80429,10783.26907,10792.99517,10912.12044,10922.42196,10870.31342,10816.37192,10678.31806,10610.25243,10590.22914,10626.2906,10657.06233,10644.8554
CH4,1A4c_Agriculture-forestry-fishing,ktCH4,86.65257387,89.2250366,88.76135406,99.8907714,115.8579581,119.2124238,122.2459664,128.0556886,129.5390269,123.7497229,118.6863705,120.5755722,114.6295606,103.0742006,101.6829462,89.62421713,92.58052659,86.88931563,83.91023589,75.34915018,74.18943157,80.61881688,82.1652237,85.65151703,92.87146024,94.28576432,95.07102427,93.42258192,91.2039772,92.55244751,92.43023501,93.4171225,94.32003762,93.16393817,97.63336196,97.9354663,99.77593436,99.29514663,99.01073555
CH4,1A5_Other-unspecified,ktCH4,59.98013108,58.15011915,62.68760843,47.56600146,43.13546394,45.43590696,52.03934853,41.59074135,40.93387348,27.64107211,38.93019889,43.59309933,55.2127448,66.3847523,29.26459893,26.14574872,31.73514187,31.36303761,38.34537882,40.99579782,39.56383285,38.79171193,36.22739797,36.36228103,35.52959704,32.64653558,34.16946446,36.18348359,41.03809483,39.62461282,28.93606406,25.6169194,21.21378821,28.95977176,29.59259945,33.1803508,39.8691555,43.21722913,41.71048881
CH4,1B1_Fugitive-solid-fuels,ktCH4,27544.08232,27924.19167,27396.55721,27583.19688,27901.21253,28523.71203,28906.44788,29280.42982,29706.72966,29028.96839,28085.29719,27562.08552,26618.25205,25894.48539,26495.92695,26213.44069,26033.1833,25427.91433,25099.25993,25672.97088,26244.7141,26243.45803,28313.92305,30453.93365,32647.6501,34469.59955,35789.29516,36668.71585,37197.05904,39394.09645,41585.26725,43054.29719,43957.55183,44519.76437,43602.47167,42181.46488,42721.64333,45206.25235,46297.89513
CH4,1B2_Fugitive-petr,ktCH4,87133.44848,84440.00376,80104.10959,74810.3749,71892.83072,71807.04881,69516.56606,71687.28739,71493.32738,72947.71246,71540.46944,67877.11869,66215.65505,66668.03484,65989.05184,68610.56434,67525.64526,64007.43753,59952.73497,59786.86752,59359.90961,58727.28077,63127.66881,66502.78903,66123.66848,65933.08447,62671.80957,62908.0451,61716.98393,61172.795,59095.42204,59991.28935,58983.17747,58254.92625,57611.73033,56030.67292,54423.94718,53735.78421,52571.59833
CH4,1B2b_Fugitive-NG-distr,ktCH4,9241.525422,9075.785416,9073.338268,9421.794848,9508.593435,9321.635135,9908.157935,10410.89735,10723.72407,11047.97217,11096.54026,11119.58261,11084.11924,10775.18286,10638.63772,10996.41634,10931.84225,10882.30631,11263.03724,11338.01141,11327.33753,11301.57398,11633.43369,11738.77492,11775.15884,11773.51983,11919.59928,11919.92119,11362.48427,11956.52199,11958.38115,11756.71041,11583.32195,11431.76183,11253.63945,11270.46027,11092.84272,10856.92801,10828.27304
CH4,1B2b_Fugitive-NG-prod,ktCH4,7494.495649,7596.69425,7508.025107,8021.970319,7904.034344,7958.421995,8062.278364,8464.129125,8620.527278,9051.525023,9233.183329,9314.351819,9879.45718,10216.33488,10188.30887,10929.19783,11193.99347,11385.2944,11521.5113,11825.80068,12326.50622,12510.99482,13060.51099,13834.93808,14421.91192,15650.99923,16214.91565,17002.25852,16771.91807,17629.48053,18465.69259,18773.12705,19339.829,19789.63161,20198.40641,19976.57704,20255.39527,20769.76747,21550.67743
CH4,1B2d_Fugitive-other-energy,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2A1_Cement-production,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2A2_Lime-production,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2Ax_Other-minerals,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2B_Chemical-industry,ktCH4,96.65158093,98.52596239,100.9123488,101.5283372,103.8218837,107.1620426,110.9139112,113.1143183,115.4327539,104.1075159,102.6044643,98.26094598,100.7464024,107.6765284,107.8421493,110.0501083,114.7888213,114.4002643,120.08006,132.2839292,162.9923249,179.3800331,193.2835575,189.9305779,174.3451535,185.4412139,187.7202075,220.4522026,215.3201986,258.1175517,282.204579,291.51058,297.0561817,302.4147961,298.4705099,301.4890127,322.6514118,320.1431273,321.5296587
CH4,2B2_Chemicals-Nitric-acid,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2B3_Chemicals-Adipic-acid,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2C_Metal-production,ktCH4,123.8200237,92.40313539,76.91929351,95.53066109,93.34165982,86.80794672,88.13691871,91.13737775,91.15524919,88.15165102,77.10510714,73.68685491,65.38156292,60.61128906,59.98580896,57.34323695,61.97412037,62.06017639,65.03900472,72.79877783,73.85676125,77.96288377,85.66843144,95.50975483,103.9122964,117.4113213,130.3599976,124.6890177,119.4969966,135.6726115,143.5238428,147.8261162,160.8441807,158.1968757,148.3411151,150.8586536,147.776759,149.0285288,149.472345
CH4,2D_Chemical-products-manufacture-processing,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2D_Degreasing-Cleaning,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2D_Other-product-use,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2D_Paint-application,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2H_Pulp-and-paper-food-beverage-wood,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,2L_Other-process-emissions,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,3B_Manure-management,ktCH4,8617.279772,8614.953768,8615.162976,8725.539582,8750.243037,8854.3669,8828.70835,8877.263685,8949.941495,8939.53641,8896.733678,8741.303322,8723.32983,8847.073924,8870.80426,8804.147289,8833.932058,8963.366165,8972.641399,9008.600385,9128.415178,9221.64364,9323.909916,9301.92514,9486.826582,9584.6332,9876.531684,9786.581114,9840.895479,9948.491586,10001.39989,10054.99674,10003.72156,10085.14343,10230.56104,10278.48197,10317.22589,10399.78899,10399.78908
CH4,3D_Rice-Cultivation,ktCH4,22197.71731,21640.89866,21612.81367,21949.13045,21868.36959,21865.64387,21440.86561,22178.66267,22596.75554,22384.87334,22307.08606,22441.01386,22210.14171,22423.73023,22889.81887,23175.34653,23184.62551,23127.52311,24026.14553,23683.44005,23177.28806,22786.11451,22651.23332,23136.00744,23766.6597,23841.51191,23919.52552,24501.7015,24506.07445,25012.859,25067.16153,25058.14312,25317.19294,25247.74068,25261.06793,25148.64754,25112.84981,25126.24977,25126.24977
CH4,3D_Soil-emissions,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,3E_Enteric-fermentation,ktCH4,83043.49655,83998.23137,84511.44872,85001.89217,85370.16316,86059.20186,86134.4649,86630.83474,87814.99512,88369.0361,88230.67031,87898.33372,86562.57863,87220.25743,87394.35896,86888.82946,86465.41872,86209.02092,86443.92451,86813.07681,87456.98548,88264.69552,89918.78095,91319.58186,92706.29707,93704.96243,94915.67307,95443.97014,95885.15422,95945.44907,96222.54468,95229.54814,95653.94868,96514.62737,96528.94513,96724.42905,97063.31938,97165.25392,97165.25577
CH4,3I_Agriculture-other,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,5A_Solid-waste-disposal,ktCH4,29593.21628,29980.16907,30313.0592,30673.868,31022.97394,31479.64207,31893.70422,32313.1935,32748.79088,32761.20076,33508.80804,33889.27892,34477.9507,34747.27885,34885.11613,35640.56068,36028.87072,35533.04358,35325.83542,35301.30998,34688.87944,34403.65748,35030.02858,35570.87343,35421.55439,36559.01298,36790.03038,36331.93512,35781.24696,36903.36552,37740.30124,37368.90054,37460.69849,37824.4145,38408.72521,38631.063,38928.3588,39314.98858,39632.71352
CH4,5C_Waste-combustion,ktCH4,451.4740761,471.1146357,490.8415123,509.882795,530.9647302,553.1279879,575.0167317,597.5480602,620.4592153,646.108622,674.4995249,701.0935987,736.4380098,766.1596032,801.0507585,867.9351,899.010908,932.4953909,958.3515536,975.0952787,1025.237317,1056.761841,1100.19593,1145.752808,1190.627505,1231.762942,1273.029403,1314.388531,1356.466308,1401.236575,1440.615775,1481.779237,1521.0824,1561.817774,1561.627266,1560.641258,1560.340021,1560.80698,1560.80698
CH4,5D_Wastewater-handling,ktCH4,21884.17956,22294.19127,22857.57003,23465.28348,23977.81395,24485.95546,25116.41315,25708.01609,26304.18714,26656.33448,26925.35296,27200.26605,27502.15798,27984.02345,28591.31649,28898.3885,29472.42803,29791.33177,30349.73724,30936.16268,31438.01199,32120.86279,32716.49732,33482.78765,33859.32635,34424.0444,35211.78438,35933.03427,36165.62592,37182.86152,37856.75943,38381.81479,39041.47928,39665.15647,39720.56511,40126.17717,40552.5738,41002.98136,41429.39822
CH4,5E_Other-waste-handling,ktCH4,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,66.0359784,74.21326562,80.82886538,93.4575632,112.4559594,128.7374277,145.201062,158.2216785,166.402309,182.7557591,200.5301833,212.839199,227.3537218,239.7577888,251.0534806,252.881725,255.8463327,261.4783623,261.548588,266.6695674,284.0598232,287.2543455,301.6371817,302.9845368,305.6407809,310.7950478,309.2708186,309.8358797,312.795572,314.2580261
CH4,6A_Other-in-total,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,6B_Other-not-in-total,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,7A_Fossil-fuel-fires,ktCH4,148.98,149.34,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,169.4748,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,150.6,151.6688504,152.7127247,153.7239646,154.6930346
CH4,7BC_Indirect-N2O-non-agricultural-N,ktCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
